modelo,accuracy,precision,recall,f1,roc_auc
GradientBoosting,0.851,0.889955214331414,0.916941331575478,0.9032467532467533,0.8933897539411857
RedNeuronal_MLP,0.841,0.8768070395977373,0.9195781147000659,0.8976833976833977,0.8924473632851151
RandomForest,0.8435,0.9106412005457026,0.8800263678312459,0.8950720750921891,0.884760840222134
